time,node,event,src,dst,msgID
0.271,1,SEND_MSG,1,0,1
0.422,1,SEND_MSG,1,0,2
0.480,1,SEND_MSG,1,0,3
0.665,1,SEND_MSG,1,0,4
0.822,1,SEND_MSG,1,0,5
1.061,1,SEND_MSG,1,0,6
1.271,0,RECV_MSG,1,0,1
1.293,1,SEND_MSG,1,0,7
1.422,0,RECV_MSG,1,0,2
1.430,0,MSG_DEPT,1,0,1
1.480,0,RECV_MSG,1,0,3
1.489,0,MSG_DEPT,1,0,2
1.508,0,MSG_DEPT,1,0,3
1.665,0,RECV_MSG,1,0,4
1.702,0,MSG_DEPT,1,0,4
1.822,0,RECV_MSG,1,0,5
1.827,0,MSG_DEPT,1,0,5
1.888,1,SEND_MSG,1,0,8
1.918,1,SEND_MSG,1,0,9
2.061,0,RECV_MSG,1,0,6
