time,node,event,source,destination,msgID
0.177,1,SEND,1,0,1
0.433,1,SEND,1,0,2
0.575,1,SEND,1,0,3
0.799,1,SEND,1,0,4
0.851,1,SEND,1,0,5
1.177,0,RECV,1,0,1
1.178,0,DEPT,1,0,1
1.433,0,RECV,1,0,2
1.575,0,RECV,1,0,3
1.697,1,SEND,1,0,6
1.784,0,DEPT,1,0,2
1.799,0,RECV,1,0,4
1.822,0,DEPT,1,0,3
1.840,1,SEND,1,0,7
1.851,0,RECV,1,0,5
1.890,0,DEPT,1,0,4
1.919,1,SEND,1,0,8
2.002,0,DEPT,1,0,5
2.187,1,SEND,1,0,9
2.658,1,SEND,1,0,10
